,Unnamed: 0,Unnamed: 0.1,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment,aggregate_column
54,54,54,SRR3997286,ChIP-Seq,36,1629441432,PRJNA336352,SAMN05509688,1161556759,SKBR3,Breast cancer cell line,GEO,"H3K27me3 (Millipore\, 07-449\, lot 2506493)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998043,GSM2258797,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258797,"SKBR3 cells\, H3K27me3 ChIP",SRP080870,Control,H3K27me3
55,55,55,SRR3997288,ChIP-Seq,36,1243660392,PRJNA336352,SAMN05509686,860477764,SKBR3,Breast cancer cell line,GEO,"H3K36me3 (Abcam\, ab9050\, lot GR233723-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998045,GSM2258799,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258799,"SKBR3 cells\, H3K36me3 ChIP",SRP080870,Control,H3K36me3
56,56,56,SRR3997290,ChIP-Seq,36,1011432960,PRJNA336352,SAMN05509684,711960798,SKBR3,Breast cancer cell line,GEO,"H3K4me1 (Abcam\, ab8895\, GR193882-2)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998047,GSM2258801,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258801,"SKBR3 cells\, H3K4me1 ChIP",SRP080870,Control,H3K4me1
57,57,57,SRR3997293,ChIP-Seq,36,2247460452,PRJNA336352,SAMN05509527,1539455514,SKBR3,Breast cancer cell line,GEO,"H3K79me2 (Abcam\, ab3594)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998050,GSM2258804,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258804,"SKBR3 cells\, H3K79me2 ChIP",SRP080870,Control,H3K79me2
58,58,58,SRR3997294,ChIP-Seq,36,1201560588,PRJNA336352,SAMN05509526,858528893,SKBR3,Breast cancer cell line,GEO,"H3K79me2 (Abcam\, ab3594\, lot GR201271-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998051,GSM2258805,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258805,"SKBR3 cells\, H3K79me2 ChIP",SRP080870,Control,H3K79me2
59,59,59,SRR3997296,ChIP-Seq,36,1664629668,PRJNA336352,SAMN05509524,1121274163,SKBR3,Breast cancer cell line,GEO,"H3K9ac (Millipore\, 07-352\, lot 2090152)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998053,GSM2258807,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258807,"SKBR3 cells\, H3K9ac ChIP",SRP080870,Control,H3K9ac
60,60,60,SRR3997298,ChIP-Seq,36,1227024864,PRJNA336352,SAMN05509522,866659225,SKBR3,Breast cancer cell line,GEO,"H3K9me3 (Abcam\, ab8898\, lot GR237138-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998055,GSM2258809,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258809,"SKBR3 cells\, H3K9me3 ChIP",SRP080870,Control,H3K9me3
61,61,61,SRR3997299,ChIP-Seq,36,2378648268,PRJNA336352,SAMN05509521,1613284154,SKBR3,Breast cancer cell line,GEO,none,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998056,GSM2258810,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258810,"SKBR3 cells\, input",SRP080870,Control,Input
62,62,62,SRR3997303,ChIP-Seq,36,2337010740,PRJNA336352,SAMN05509517,1616453859,AU565,Breast cancer cell line,GEO,"H3K27me3 (Millipore\, 07-449)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998060,GSM2258814,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258814,"AU565 cells\, H3K27me3 ChIP",SRP080870,Control,H3K27me3
63,63,63,SRR3997304,ChIP-Seq,36,1224818424,PRJNA336352,SAMN05509516,874126388,AU565,Breast cancer cell line,GEO,"H3K27me3 (Millipore\, 07-449\, lot 2506493)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998061,GSM2258815,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258815,"AU565 cells\, H3K27me3 ChIP",SRP080870,Control,H3K27me3
64,64,64,SRR3997306,ChIP-Seq,36,1107945180,PRJNA336352,SAMN05509514,773740810,AU565,Breast cancer cell line,GEO,"H3K36me3 (Abcam\, ab9050\, lot GR233723-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998063,GSM2258817,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258817,"AU565 cells\, H3K36me3 ChIP",SRP080870,Control,H3K36me3
65,65,65,SRR3997308,ChIP-Seq,36,1125623592,PRJNA336352,SAMN05509512,783476117,AU565,Breast cancer cell line,GEO,"H3K4me1 (Abcam\, ab8895\, GR193882-2)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998065,GSM2258819,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258819,"AU565 cells\, H3K4me1 ChIP",SRP080870,Control,H3K4me1
66,66,66,SRR3997311,ChIP-Seq,36,3045656088,PRJNA336352,SAMN05509509,2106713407,AU565,Breast cancer cell line,GEO,"H3K79me2 (Abcam\, ab3594)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998068,GSM2258822,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258822,"AU565 cells\, H3K79me2 ChIP",SRP080870,Control,H3K79me2
67,67,67,SRR3997313,ChIP-Seq,36,1666122012,PRJNA336352,SAMN05509507,1177479956,AU565,Breast cancer cell line,GEO,"H3K9ac (Millipore\, 07-352\, lot 2090152)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998070,GSM2258824,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258824,"AU565 cells\, H3K9ac ChIP",SRP080870,Control,H3K9ac
68,68,68,SRR3997316,ChIP-Seq,36,1202126652,PRJNA336352,SAMN05509504,846409747,AU565,Breast cancer cell line,GEO,"H3K9me3 (Abcam\, ab8898\, lot GR237138-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998073,GSM2258827,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258827,"AU565 cells\, H3K9me3 ChIP",SRP080870,Control,H3K9me3
69,69,69,SRR3997319,ChIP-Seq,36,1962444780,PRJNA336352,SAMN05509501,1442550650,HCC1954,Breast cancer cell line,GEO,"H3K27ac (Abcam\, ab4729\, lot GR150367-3)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998076,GSM2258830,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258830,"HCC1954 cells\, H3K27ac ChIP",SRP080870,Control,H3K27ac
70,70,70,SRR3997321,ChIP-Seq,36,1954616976,PRJNA336352,SAMN05509589,1422599147,HCC1954,Breast cancer cell line,GEO,"H3K27me3 (Millipore\, 07-449)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998078,GSM2258832,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258832,"HCC1954 cells\, H3K27me3 ChIP",SRP080870,Control,H3K27me3
71,71,71,SRR3997323,ChIP-Seq,36,2223971136,PRJNA336352,SAMN05509587,1622453865,HCC1954,Breast cancer cell line,GEO,"H3K36me3 (Abcam\, ab9050)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998080,GSM2258834,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258834,"HCC1954 cells\, H3K36me3 ChIP",SRP080870,Control,H3K36me3
72,72,72,SRR3997325,ChIP-Seq,36,2138949144,PRJNA336352,SAMN05509585,1532341075,HCC1954,Breast cancer cell line,GEO,"H3K4me1 (Abcam\, ab8895)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998082,GSM2258836,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258836,"HCC1954 cells\, H3K4me1 ChIP",SRP080870,Control,H3K4me1
73,73,73,SRR3997327,ChIP-Seq,36,1997587008,PRJNA336352,SAMN05509583,1460479530,HCC1954,Breast cancer cell line,GEO,"H3K4me3 (Abcam\, ab8580)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998084,GSM2258838,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258838,"HCC1954 cells\, H3K4me3 ChIP",SRP080870,Control,H3K4me3
74,74,74,SRR3997329,ChIP-Seq,36,1802471220,PRJNA336352,SAMN05509581,1314377560,HCC1954,Breast cancer cell line,GEO,"H3K79me2 (Abcam\, ab3594)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998086,GSM2258840,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258840,"HCC1954 cells\, H3K79me2 ChIP",SRP080870,Control,H3K79me2
75,75,75,SRR3997331,ChIP-Seq,36,2113863120,PRJNA336352,SAMN05509579,1548551893,HCC1954,Breast cancer cell line,GEO,"H3K9ac (Millipore\, 07-352\, lot 2090152)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998088,GSM2258842,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258842,"HCC1954 cells\, H3K9ac ChIP",SRP080870,Control,H3K9ac
76,76,76,SRR3997333,ChIP-Seq,36,1642514508,PRJNA336352,SAMN05509577,1192017302,HCC1954,Breast cancer cell line,GEO,"H3K9me3 (Abcam\, ab8898)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998090,GSM2258844,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258844,"HCC1954 cells\, H3K9me3 ChIP",SRP080870,Control,H3K9me3
77,77,77,SRR3997335,ChIP-Seq,36,1995043752,PRJNA336352,SAMN05509575,1451377584,HCC1954,Breast cancer cell line,GEO,none,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998092,GSM2258846,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258846,"HCC1954 cells\, input",SRP080870,Control,Input
78,78,78,SRR3997336,ChIP-Seq,36,1299691260,PRJNA336352,SAMN05509574,989680719,HCC1954,Breast cancer cell line,GEO,none,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998093,GSM2258847,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258847,"HCC1954 cells\, input",SRP080870,Control,Input
79,79,79,SRR3997338,ChIP-Seq,36,1604658672,PRJNA336352,SAMN05509572,1062754304,MB231,Breast cancer cell line,GEO,"H3K27ac (Abcam\, ab4729\, lot GR211895-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998095,GSM2258849,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258849,"MB231 cells\, H3K27ac ChIP",SRP080870,Control,H3K27ac
80,80,80,SRR3997340,ChIP-Seq,36,1144386936,PRJNA336352,SAMN05509570,804905349,MB231,Breast cancer cell line,GEO,"H3K27me3 (Millipore\, 07-449\, lot 2506493)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998097,GSM2258851,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258851,"MB231 cells\, H3K27me3 ChIP",SRP080870,Control,H3K27me3
81,81,81,SRR3997342,ChIP-Seq,36,1000847268,PRJNA336352,SAMN05509568,743070644,MB231,Breast cancer cell line,GEO,"H3K36me3 (Abcam\, ab9050\, lot GR233723-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998099,GSM2258853,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258853,"MB231 cells\, H3K36me3 ChIP",SRP080870,Control,H3K36me3
82,82,82,SRR3997344,ChIP-Seq,36,1223431740,PRJNA336352,SAMN05509566,894361447,MB231,Breast cancer cell line,GEO,"H3K4me1 (Abcam\, ab8895\, GR193882-2)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998101,GSM2258855,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258855,"MB231 cells\, H3K4me1 ChIP",SRP080870,Control,H3K4me1
83,83,83,SRR3997346,ChIP-Seq,36,1364528844,PRJNA336352,SAMN05509564,1001078382,MB231,Breast cancer cell line,GEO,"H3K4me3 (Abcam\, ab8580\, lot GR1902371-1 and GR224370-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998103,GSM2258857,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258857,"MB231 cells\, H3K4me3 ChIP",SRP080870,Control,H3K4me3
84,84,84,SRR3997347,ChIP-Seq,36,2194322472,PRJNA336352,SAMN05509563,1510612126,MB231,Breast cancer cell line,GEO,"H3K79me2 (Abcam\, ab3594)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998104,GSM2258858,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258858,"MB231 cells\, H3K79me2 ChIP",SRP080870,Control,H3K79me2
85,85,85,SRR3997350,ChIP-Seq,36,1537266492,PRJNA336352,SAMN05509617,1020522171,MB231,Breast cancer cell line,GEO,"H3K9ac (Millipore\, 07-352\, lot 2090152)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998107,GSM2258861,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258861,"MB231 cells\, H3K9ac ChIP",SRP080870,Control,H3K9ac
86,86,86,SRR3997352,ChIP-Seq,36,1396312632,PRJNA336352,SAMN05509615,1011559552,MB231,Breast cancer cell line,GEO,"H3K9me3 (Abcam\, ab8898\, lot GR237138-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998109,GSM2258863,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258863,"MB231 cells\, H3K9me3 ChIP",SRP080870,Control,H3K9me3
87,87,87,SRR3997354,ChIP-Seq,36,952620120,PRJNA336352,SAMN05509560,742381806,MB231,Breast cancer cell line,GEO,none,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998111,GSM2258865,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258865,"MB231 cells\, input",SRP080870,Control,Input
88,88,88,SRR3997356,ChIP-Seq,36,1654110792,PRJNA336352,SAMN05509618,1104882915,MB436,Breast cancer cell line,GEO,"H3K27ac (Abcam\, ab4729\, lot GR211895-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998113,GSM2258867,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258867,"MB436 cells\, H3K27ac ChIP",SRP080870,Control,H3K27ac
89,89,89,SRR3997359,ChIP-Seq,36,2280019572,PRJNA336352,SAMN05509611,1550917522,MB436,Breast cancer cell line,GEO,"H3K36me3 (Abcam\, ab9050)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998116,GSM2258870,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258870,"MB436 cells\, H3K36me3 ChIP",SRP080870,Control,H3K36me3
90,90,90,SRR3997360,ChIP-Seq,36,1155960360,PRJNA336352,SAMN05509610,806720080,MB436,Breast cancer cell line,GEO,"H3K36me3 (Abcam\, ab9050\, lot GR233723-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998117,GSM2258871,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258871,"MB436 cells\, H3K36me3 ChIP",SRP080870,Control,H3K36me3
91,91,91,SRR3997362,ChIP-Seq,36,887799636,PRJNA336352,SAMN05509608,620485598,MB436,Breast cancer cell line,GEO,"H3K4me1 (Abcam\, ab8895\, GR193882-2)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998119,GSM2258873,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258873,"MB436 cells\, H3K4me1 ChIP",SRP080870,Control,H3K4me1
92,92,92,SRR3997365,ChIP-Seq,36,1542550428,PRJNA336352,SAMN05509605,1054646509,MB436,Breast cancer cell line,GEO,"H3K79me2 (Abcam\, ab3594)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998122,GSM2258876,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258876,"MB436 cells\, H3K79me2 ChIP",SRP080870,Control,H3K79me2
93,93,93,SRR3997366,ChIP-Seq,36,1193787108,PRJNA336352,SAMN05509604,853508636,MB436,Breast cancer cell line,GEO,"H3K79me2 (Abcam\, ab3594\, lot GR201271-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998123,GSM2258877,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258877,"MB436 cells\, H3K79me2 ChIP",SRP080870,Control,H3K79me2
94,94,94,SRR3997367,ChIP-Seq,36,4828624884,PRJNA336352,SAMN05509603,3399890382,MB436,Breast cancer cell line,GEO,"H3K9ac (Millipore\, 07-352\, lot 2090152)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998124,GSM2258878,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258878,"MB436 cells\, H3K9ac ChIP",SRP080870,Control,H3K9ac
95,95,95,SRR3997369,ChIP-Seq,36,2384310996,PRJNA336352,SAMN05509601,1709313429,MB436,Breast cancer cell line,GEO,"H3K9me3 (Abcam\, ab8898)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998126,GSM2258880,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258880,"MB436 cells\, H3K9me3 ChIP",SRP080870,Control,H3K9me3
96,96,96,SRR3997373,ChIP-Seq,36,2081300328,PRJNA336352,SAMN05509597,1417563123,MB468,Breast cancer cell line,GEO,"H3K27ac (Abcam\, ab4729\, lot GR150367-3)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998130,GSM2258884,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258884,"MB468 cells\, H3K27ac ChIP",SRP080870,Control,H3K27ac
97,97,97,SRR3997375,ChIP-Seq,36,2442933108,PRJNA336352,SAMN05509595,1627106771,MB468,Breast cancer cell line,GEO,"H3K27me3 (Millipore\, 07-449)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998132,GSM2258886,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258886,"MB468 cells\, H3K27me3 ChIP",SRP080870,Control,H3K27me3
98,98,98,SRR3997377,ChIP-Seq,36,2515963752,PRJNA336352,SAMN05509593,1695777748,MB468,Breast cancer cell line,GEO,"H3K36me3 (Abcam\, ab9050)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998134,GSM2258888,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258888,"MB468 cells\, H3K36me3 ChIP",SRP080870,Control,H3K36me3
99,99,99,SRR3997379,ChIP-Seq,36,2213800380,PRJNA336352,SAMN05509591,1503204464,MB468,Breast cancer cell line,GEO,"H3K4me1 (Abcam\, ab8895)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998136,GSM2258890,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258890,"MB468 cells\, H3K4me1 ChIP",SRP080870,Control,H3K4me1
100,100,100,SRR3997382,ChIP-Seq,36,1132016868,PRJNA336352,SAMN05509462,815369813,MB468,Breast cancer cell line,GEO,"H3K4me3 (Abcam\, ab8580\, lot GR1902371-1 and GR224370-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998139,GSM2258893,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258893,"MB468 cells\, H3K4me3 ChIP",SRP080870,Control,H3K4me3
101,101,101,SRR3997383,ChIP-Seq,36,2185163352,PRJNA336352,SAMN05509647,1464208254,MB468,Breast cancer cell line,GEO,"H3K79me2 (Abcam\, ab3594)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998140,GSM2258894,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258894,"MB468 cells\, H3K79me2 ChIP",SRP080870,Control,H3K79me2
102,102,102,SRR3997385,ChIP-Seq,36,2181293064,PRJNA336352,SAMN05509645,1592268728,MB468,Breast cancer cell line,GEO,"H3K9ac (Millipore\, 07-352\, lot 2090152)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998142,GSM2258896,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258896,"MB468 cells\, H3K9ac ChIP",SRP080870,Control,H3K9ac
103,103,103,SRR3997388,ChIP-Seq,36,1317914460,PRJNA336352,SAMN05509642,950706625,MB468,Breast cancer cell line,GEO,"H3K9me3 (Abcam\, ab8898\, lot GR237138-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998145,GSM2258899,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258899,"MB468 cells\, H3K9me3 ChIP",SRP080870,Control,H3K9me3
104,104,104,SRR3997390,ChIP-Seq,36,961238808,PRJNA336352,SAMN05509640,751150880,MB468,Breast cancer cell line,GEO,none,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998147,GSM2258901,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258901,"MB468 cells\, input",SRP080870,Control,Input
105,105,105,SRR3997392,ChIP-Seq,36,1282006404,PRJNA336352,SAMN05509638,845278852,HCC1937,Breast cancer cell line,GEO,"H3K27ac (Abcam\, ab4729\, lot GR211895-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998149,GSM2258903,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258903,"HCC1937 cells\, H3K27ac ChIP",SRP080870,Control,H3K27ac
106,106,106,SRR3997394,ChIP-Seq,36,1561366980,PRJNA336352,SAMN05509636,1108311804,HCC1937,Breast cancer cell line,GEO,"H3K27me3 (Millipore\, 07-449\, lot 2506493)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998151,GSM2258905,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258905,"HCC1937 cells\, H3K27me3 ChIP",SRP080870,Control,H3K27me3
107,107,107,SRR3997396,ChIP-Seq,36,1364868288,PRJNA336352,SAMN05509634,969583067,HCC1937,Breast cancer cell line,GEO,"H3K36me3 (Abcam\, ab9050\, lot GR233723-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998153,GSM2258907,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258907,"HCC1937 cells\, H3K36me3 ChIP",SRP080870,Control,H3K36me3
108,108,108,SRR3997398,ChIP-Seq,36,1130928948,PRJNA336352,SAMN05509632,822064405,HCC1937,Breast cancer cell line,GEO,"H3K4me1 (Abcam\, ab8895\, GR193882-2)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998155,GSM2258909,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258909,"HCC1937 cells\, H3K4me1 ChIP",SRP080870,Control,H3K4me1
